,FAs,5% Suff,10% Suff,20% Suff,Mean Suff,Soft Suff
0,Input X Gradient,0.0044323547569128,0.023287684581999903,0.1500586937414689,0.05925957769346055,-0.0011964710636429
1,Integrated Gradients,0.016581188655032,0.050788327878235395,0.2037612353749018,0.09037691730272307,0.0002753208812855001
2,Gradient Shap,0.023542911194746798,0.0402497079745344,0.17820783605484838,0.0806668184080432,-0.00010396174303800001
3,Attention Rollout,-0.005341995827550526,0.0184554329154359,-0.0245407867623109,-0.0038091165581418413,-0.0005165870776587
4,Attention Last,0.005298616758458,0.004586367015115498,0.11620011379021108,0.04202836585459486,0.0016539536453088997
5,Attention,0.009411730253895901,0.0322079755771464,0.37929738337177576,0.14030569640093937,-0.0006212279485237001
6,Ours,0.0097063568683897,0.06994384031082371,0.2103281177814477,0.09665943832022038,0.0031500102775046
