,FAs,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,Soft Suff,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.0085254603286876,0.014634445914040402,0.1470351413987957,0.2972294860874611,0.1168561334322462,-0.0006423495493234998,,,,,,
1,Integrated Gradients,0.0244520195678391,0.0494543579132871,0.2047459004533064,0.3174711235096923,0.14903085036103125,-0.0005063700036872001,,,,,,
2,Gradient Shap,0.0224185390282128,0.0390901662263924,0.1952452311584924,0.3378407798642638,0.14864867906934034,-0.0007065895365123,,,,,,
3,Attention Rollout,-0.005844676459965226,0.018531259598254503,-0.010142569616824401,-0.0494269638581937,-0.011720737584182206,-0.0023720840273408,,,,,,
4,Attention Last,0.0033678748739924,0.007582347634368499,0.1362291474399627,0.3590256604830639,0.12655125760784686,0.00043194663997279996,,,,,,
5,Attention,0.0110332589122423,0.0305650080349951,0.3624046819121794,0.5272259030017107,0.2328072129652819,-0.00044167551208669996,,,,,,
6,Ours,0.0097063568683897,0.06994384031082371,0.2103281177814477,0.29450496400381476,0.14612081974111898,0.0031500102775046,,,,,,
0,Input X Gradient,,,,,,,0.3444693490739821,0.3027777656250216,0.36877595040721567,0.14378987769083384,0.28995323569926335,0.03014488174502479
1,Integrated Gradients,,,,,,,0.552993000391106,0.5584258761205203,0.4039480587148485,0.25118651986841045,0.44163836377372134,0.031887548495988
2,Gradient Shap,,,,,,,0.3996822974579608,0.43529204277887235,0.38366491517607915,0.3594090800912272,0.39451208387603487,0.030033924145402388
3,Attention Rollout,,,,,,,-0.03306120244301092,-0.15594142843910896,-0.3134045654333273,-0.1504171927874346,-0.16320609727572044,-0.006371220900432503
4,Attention Last,,,,,,,0.42089841228956704,0.6522398001611182,0.4229975221712896,0.4048513509387385,0.47524677139017835,-0.0167639260754682
5,Attention,,,,,,,0.05531468980894991,0.5017220745309958,0.3423170442016604,0.33051804925398465,0.3074679644488977,0.0181947009346023
6,Ours,,,,,,,0.6629344908124032,0.5013011962079421,0.39881870852250756,0.2332091715580582,0.4490658917752278,0.4858732278615781
