,FAs,5% Comp,10% Comp,20% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.31739921441654995,0.3249446124797458,0.3378403133021972,0.32672804673283107,0.02581324498291719
1,Integrated Gradients,0.5150912660235544,0.5486602139996872,0.3542817889835278,0.47267775633558984,0.0207430309737794
2,Gradient Shap,0.29938012794494645,0.5696629409162325,0.37521879445837925,0.4147539544398526,0.048482742728829506
3,Attention Rollout,-0.050887690417084214,-0.19188831867227268,-0.23069597720593737,-0.15782399543176476,-0.004567671369318599
4,Attention Last,0.47694740523288703,0.45797760108882063,0.49274785186683323,0.47589095272951365,-0.009799171882017205
5,Attention,0.0413682925376776,0.5474810147625726,0.47748122504345547,0.35544351078123526,0.020070182877192005
6,Ours,0.6629344908124032,0.5013011962079421,0.39881870852250756,0.5210181318476177,0.4858732278615781
