,FAs,Soft Comp
0,Input X Gradient,0.48966019596405885
1,Integrated Gradients,0.7899673474278376
2,Gradient Shap,0.1505669581572181
3,Attention Rollout,-0.19192183348262545
4,Attention Last,-0.29469795912618213
5,Attention,-0.3129647551675592
6,Ours,4.074454952926668
