,FAs,Soft Suff
0,Input X Gradient,0.15221244283564012
1,Integrated Gradients,-0.06721528559799919
2,Gradient Shap,-0.6812935246085006
3,Attention Rollout,0.21091732060939625
4,Attention Last,-0.7393604251775178
5,Attention,-0.24830214529721206
6,Ours,0.9324013146761022
