,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,FlexLen Suff,Soft Suff,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,FlexLen Comp,Soft Comp
0,Rollout Attention,1.9777679156808383,1.069773779584665,1.1589689781318195,1.25332989571621,1.2930663114888838,1.0508884064077346,0.9831344742762729,,,,,,,
1,Last Attention,2.679326910649483,1.4446238997868246,1.847137091773806,1.600580739343535,1.7569866998789132,1.6989370001760202,0.7558242282225514,,,,,,,
2,All Attention,1.9900405320323378,2.341451802273735,1.2517703510909732,1.8934349202594047,1.7739987224654041,1.6477040842878194,1.0549241590722598,,,,,,,
3,Ours,2.498655511272666,1.4923790853275058,1.8418250126988052,1.6888531139149976,1.7892045431562091,1.9022001324573234,1.0613862938970617,,,,,,,
0,Rollout Attention,,,,,,,,1.9236571517209704,1.4562248142402157,0.8368523219784376,0.7207754934900543,1.0469395865884623,0.989218244266631,0.7067953542460846
1,Last Attention,,,,,,,,1.326435335204074,1.4804296927629526,1.475210588546301,1.2678604364876824,1.3800143858216847,1.4595698600333615,0.8846760720777419
2,All Attention,,,,,,,,1.5692781297429992,1.627370651442941,1.3368812546573212,1.2449603149631705,1.3868634104696942,1.3635080729749682,0.9297095118540095
3,Ours,,,,,,,,1.5112072899332687,1.4819514974204853,1.4583206238737403,1.280537456201957,1.402300828726175,1.4132619718161303,1.007299507361709
