,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,FlexLen Suff,Soft Suff
0,Rollout Attention,1.9777679156808383,1.069773779584665,1.1589689781318195,1.25332989571621,1.2930663114888838,1.0508884064077346,0.9831344742762729
1,Last Attention,2.679326910649483,1.4446238997868246,1.847137091773806,1.600580739343535,1.7569866998789132,1.6989370001760202,0.7558242282225514
2,All Attention,1.9900405320323378,2.341451802273735,1.2517703510909732,1.8934349202594047,1.7739987224654041,1.6477040842878194,1.0549241590722598
3,Ours,2.498655511272666,1.4923790853275058,1.8418250126988052,1.6888531139149976,1.7892045431562091,1.9022001324573234,1.0613862938970617
