,Method,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,FlexLen Comp,Soft Comp
0,Rollout Attention,1.9236571517209704,1.4562248142402157,0.8368523219784376,0.7207754934900543,1.0469395865884623,0.989218244266631,0.7067953542460846
1,Last Attention,1.326435335204074,1.4804296927629526,1.475210588546301,1.2678604364876824,1.3800143858216847,1.4595698600333615,0.8846760720777419
2,All Attention,1.5692781297429992,1.627370651442941,1.3368812546573212,1.2449603149631705,1.3868634104696942,1.3635080729749682,0.9297095118540095
3,Ours,1.5112072899332687,1.4819514974204853,1.4583206238737403,1.280537456201957,1.402300828726175,1.4132619718161303,1.007299507361709
