,Method,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,Soft Comp
0,Inseq Ig,1.5815084087809628,1.4447852258101013,1.3796898507172337,1.39572471458518,1.4462746705136715,1.332067674905261
1,Inseq Embgrad,1.546489143988101,1.8081128425396817,1.3596043705556706,1.6911914017000866,1.5832204117224622,2.381341882570381
2,Inseq Signed,1.7518844587789237,1.5533299047537843,1.56994444983393,1.6640454986973252,1.6309871482301885,2.5125860899231958
3,Rollout Attention,0.7870343432186756,0.7585983041402784,0.8132905717645041,0.7606973496875458,0.7792760267574325,1.6268659929719327
4,Last Attention,1.9568855492187252,2.123223148638115,1.7898797065314211,1.9206802306128548,1.940481755586694,1.4817442395229508
5,All Attention,1.698178460299846,1.935668473583279,1.6833619021815163,1.880750202717658,1.7927285777437767,1.0318292945176732
6,Ours,1.8048629871371957,1.566505117658981,1.7278931353546363,2.020635077587641,1.7651816118188228,88.12092701546618
