,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,Soft Suff
0,Inseq Ig,1.344826662043094,1.4827147620510472,1.360633465885457,1.5513711334368756,1.429811442153149,1.1636041671546624
1,Inseq Embgrad,0.206437571041408,0.29579922308968665,0.22289040528416174,0.21714049312493933,0.23099257244722549,0.563010075566072
2,Inseq Signed,0.24019037569121904,0.2370744244871162,0.2588498744903086,0.24125611576693093,0.2440562447901537,0.5057720333417196
3,Rollout Attention,0.3694048285807948,0.4401733346112681,0.6532486023181644,0.4458021049543287,0.45699410942275615,0.42689012552862227
4,Last Attention,1.7305737531417071,1.5744115089655235,1.4113744105035968,1.853111261667927,1.625247757185068,0.6371140324641725
5,All Attention,3.3377874810018278,3.575011082230542,2.902189994281761,3.7602417987756733,3.3618338455404415,0.6170138443073098
6,Ours,2.3333404641178315,2.0387599886782937,2.7497030215818588,2.791541583902459,2.437590095789259,2.827515014750993
