,FAs,5% Suff,10% Suff,20% Suff,Mean Suff,Soft Suff
0,Input X Gradient,0.0205867993251942,0.0006356382997097006,0.0779295656023041,0.033050667742402666,-0.0009676392483563001
1,Integrated Gradients,0.0168546714708966,0.0198572385940221,0.051853793259308605,0.029521901108075767,0.003343644407715
2,Gradient Shap,0.0105215505298066,0.0158881868883044,0.0413059514752394,0.022571896297783466,0.0014538746203548998
3,Attention Rollout,-0.0033820867400768,-0.0021173160364275,-0.005383670013019699,-0.003627690929841333,-9.710044515490006e-05
4,Attention Last,0.0105791454418456,0.048262748663295704,0.12536331218953828,0.06140173543155986,0.0009995334673877
5,Attention,0.002122438792429301,0.0689691140237959,0.2504395638788476,0.1071770388983576,0.00015464215513930003
6,Ours,0.0259450004276602,0.020674787076297198,0.0453254560504521,0.030648414518136498,0.0036702003052265
