,FAs,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,Soft Suff
0,Input X Gradient,0.020358379085239797,0.008260853974208102,0.0834021919580213,0.12264795568818732,0.05866734517641412,0.0030466766003896
1,Integrated Gradients,0.0183220015231716,0.022825807477974802,0.0493486984809297,0.0569919075496271,0.0368721037579258,0.0050345021783148
2,Gradient Shap,0.0125255834964404,0.0177289739566817,0.0437101536084337,0.0474769381330346,0.030360412298647603,0.0018627379020647
3,Attention Rollout,-0.0049934252052543995,-0.0015248879452266,-0.0009192638035784998,-0.0198334645340472,-0.006817760372026676,-0.00014947114240059997
4,Attention Last,0.007965082738697,0.0518646042959979,0.12590082605911468,0.1518104890887402,0.08438525054563743,-0.0014614477071736999
5,Attention,0.003433417088478701,0.0658098857598603,0.25175129235569677,0.3169182787872396,0.15947821849781885,-0.0006284128569469002
6,Ours,0.0259450004276602,0.020674787076297198,0.0453254560504521,0.0976666902431844,0.04740298344939847,0.0036702003052265
