,FAs,Soft Suff,Soft Comp
0,Input X Gradient,-0.000633059681733,
1,Integrated Gradients,0.0019050965895044004,
2,Gradient Shap,0.0024425262088721,
3,Attention Rollout,-0.0009463267210547003,
4,Attention Last,7.593843150800229e-06,
5,Attention,-0.00010939749216829983,
6,Ours,0.0036702003052265,
0,Input X Gradient,,0.004046813384366001
1,Integrated Gradients,,0.005026178989279999
2,Gradient Shap,,0.0029897913887046
3,Attention Rollout,,0.0027228307205517006
4,Attention Last,,0.0007489578763460007
5,Attention,,0.001198810087917999
6,Ours,,0.24067361448323218
