,FAs,Soft Suff,Soft Comp
0,Input X Gradient,-0.6169121220760424,
1,Integrated Gradients,0.6179603163284493,
2,Gradient Shap,-0.5884645879747891,
3,Attention Rollout,-0.1930602654722272,
4,Attention Last,0.08155151945792151,
5,Attention,0.007619357496965214,
6,Ours,0.4974047064129533,
0,Input X Gradient,,0.4972863297266997
1,Integrated Gradients,,0.8578818680070185
2,Gradient Shap,,0.6964420234528983
3,Attention Rollout,,0.3534903026980813
4,Attention Last,,0.3210980821964138
5,Attention,,-0.09216400722822453
6,Ours,,7.1038329574617505
