id,suff,soft_suff,comp,soft_comp,random_suff,random_soft_suff,random_comp,random_soft_comp
0,0.0,0.0,0.9409508679044482,4.2607067461746415e-05,0.0,0.024898315483043686,0.705517513858127,0.0007276528015999828
1,0.0,0.0,0.9950805134516042,0.00020722060196430887,0.0,0.0,1.0456554060990926,3.6731629836629504e-05
2,0.16755809395450075,0.011735223046628966,0.9044546234929693,7.039401776809393e-05,0.12330221849549637,0.0,0.5194627188334157,8.481015371729506e-05
3,0.09280238654172626,0.006845173180533414,1.0885351285735443,0.0002773657189875754,0.0,0.0,0.8014654286578571,0.00026655889286207254
4,0.11092785497765464,0.0011016310491750276,0.9635698829424771,0.0003688971771718938,0.005778318232808296,0.0,0.5202882197827362,6.364199552174449e-05
5,0.0,0.013939081865746175,0.9041930764789138,0.000336795124882469,0.0,0.0,0.87160170658453,0.00031645437900768415
6,0.0013391658045923823,0.0032811359223978032,0.9177141433548296,7.550799962328162e-05,0.0,0.059754159993892594,0.652471796722823,3.276300556083855e-05
7,0.005766120015438695,0.0,0.8314831753399157,2.8781580955106522e-05,0.15961401469526107,0.0,0.780476300731718,3.0087738501185882e-05
8,0.0631906496022582,0.0,1.2553261808979508,0.01267918342388744,0.0,0.02085727819930862,0.8242664456224931,0.00011215913272702645
9,0.0,0.031166319418247553,0.8577189315591501,0.00010171974752013521,0.0,0.026332147785922983,0.747579887923242,3.614259757377758e-05
10,0.0,0.0,0.891452754585498,7.274745827526555e-05,0.004775324944613904,0.03221698423066701,0.7812715153792237,4.016945869627041e-05
11,0.23005123099142308,0.016306918175111602,0.841988927092439,0.00028764834118080924,0.2647536489042298,0.0,0.6590063932261184,4.937634004066715e-05
12,0.09757988841200396,0.003297704982485323,0.9296740652168795,3.0154661804069926e-05,0.0,0.05252331244682176,0.6211483640737742,1.090504654682255e-05
13,0.04249425514622469,0.0,1.0715486552708238,3.260795600369814e-05,0.007663278367500443,0.018515116179980952,0.6293845323598983,0.0004552829736651822
14,0.07809117417917415,0.0,0.9264523638777661,0.00011954400305064243,0.035133306729409654,0.018202335161398395,0.8210253796138866,0.00012182642325782191
15,0.16842299954545978,0.012423451559090552,1.0342909922862935,0.0005298678293670479,0.20984588501126417,0.0,1.0121530466016493,0.0005853659442363361
16,0.0,0.0,0.9960362192198188,3.830438141996576e-05,0.0,0.017189496093544414,0.748826679484729,4.277046208241362e-05
17,0.0,0.11809737403526961,0.971186014054542,0.0002542445189800323,0.0,0.0,0.693475021608891,0.00014737407567005226
18,0.17247748937733365,0.031074485581266874,0.9759147965852988,0.00010210044494606522,0.0,0.017801223528472705,0.6098328952642444,0.0008232084955403487
19,0.23858613684608104,0.0,0.8309037288677554,0.00011713274180948633,0.0,0.019899470026250317,0.6255015845222834,1.749051904298889e-05
20,0.14658435590626953,0.0,0.7206513764460822,0.0006380661125361592,0.0463359019438512,0.026634494080660744,0.7241588662312046,6.362030491211561e-05
21,0.016706607238758202,0.0,0.6301694294254915,0.00022979055551754492,0.04921256519663027,0.06219007655631265,0.575989599216751,0.0009798178230897509
