,Method,5% Suff,10% Suff,20% Suff,30% Suff,Mean Suff,FlexLen Suff,Soft Suff
0,Norm,0.0020428059651554,0.0098437050079142,0.027706220525509903,0.0271330920590933,0.013345164711534558,0.012582336105748403,-6.248162700999739e-07
1,Signed,0.0050213399121983,0.008592122273272,0.004201855071600303,0.010402930401951005,0.005643649531804323,0.0001820349649535001,6.091617839329997e-05
2,Inseq Ig,0.00015787343508489975,0.007132906067852999,0.029683285305022497,0.0335752740100976,0.0141098677636116,0.019783389051792097,0.00015994496005119997
3,Rollout Attention,0.0201383740574692,0.0026751540738542984,0.001013478569494998,-0.005124075875051003,0.003740586165153499,0.0101013811102264,-0.0004179045675293001
4,Last Attention,0.021538802656617798,0.0381330927244456,0.044185423347476396,0.049971215970447104,0.03076570693979738,0.04488298252591259,-4.528024731259995e-05
5,All Attention,0.0109615550749308,0.0356622887880733,0.04625925723341,0.043918856703851296,0.027360391560053085,0.0369614579403693,7.1967533152999e-06
6,Ours,0.004287878632641301,0.010561123668493799,0.008740322140702101,0.019571682262954797,0.0086322013409584,0.0095720589147501,0.0023157890220438
