,FAs,5% Comp,10% Comp,20% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.16215615025694252,0.08125350841135692,0.06174757772966166,0.1017190787993203,0.053180036484636
1,Integrated Gradients,0.19334765235155094,0.10952983451834764,0.05314623801063545,0.11867457496017808,0.0295193349524958
2,Gradient Shap,0.2100779900721753,0.10094297544605624,0.06676341137811026,0.12592812563211386,0.030196961806707
3,Attention Rollout,0.16412414463870528,0.09809799820416765,0.008222316330756874,0.0901481530578766,0.001506832921578799
4,Attention Last,0.10090761837880446,0.11312100084668852,0.07483730183888848,0.09628864035479379,0.001658005857493601
5,Attention,0.1622658354526747,0.10470043203893586,0.07320939138408067,0.113391886291897,-0.00020270818722920025
6,Ours,0.08160534117604579,0.08684713117953835,0.06558113824432377,0.0780112035333026,0.11189639095321059
