,FAs,5% Comp,10% Comp,20% Comp,30% Comp,Mean Comp,Soft Comp
0,Input X Gradient,0.1410957204394815,0.09813495831603924,0.03162989103262204,0.01883365434287676,0.07242355603275485,0.0028582886851784978
1,Integrated Gradients,0.1606136930235158,0.06596711372856079,0.055381729023725734,0.0626688429319684,0.08615784467694276,0.05748461873570129
2,Gradient Shap,0.162508306836736,0.11229163974783085,0.06929585291990015,0.043656630489327775,0.09693810749844878,0.0347720757363424
3,Attention Rollout,0.215867937421669,0.11423726832961933,0.012044470494777526,-0.022481107709729886,0.07991714213408385,-0.00045970839973559843
4,Attention Last,0.13152832538277948,0.14431495029667119,0.07688015912204793,0.06081746769398566,0.10338522562387109,-0.0025935084943164988
5,Attention,0.1696446921812932,0.13246661386914926,0.07941339129680036,0.06705474219314067,0.11214485988509582,-0.0019483391596850988
6,Ours,0.08160534117604579,0.08684713117953835,0.06558113824432377,0.09265289064430471,0.0816716253110531,0.11189639095321059
