,FAs,Soft Suff
0,Input X Gradient,0.14543691883736956
1,Integrated Gradients,0.2657301495739686
2,Gradient Shap,-0.41920094879213204
3,Attention Rollout,-0.12486717684804144
4,Attention Last,-0.09824903523543242
5,Attention,-0.13692797113203253
6,Ours,2.089990815853427
