,FAs,Soft Comp
0,Input X Gradient,0.0230776629375884
1,Integrated Gradients,0.1211144427379279
2,Gradient Shap,0.014409695436381301
3,Attention Rollout,0.00020744792606169904
4,Attention Last,0.00032181401437409926
5,Attention,0.0009156900792302008
6,Ours,0.2404635654067775
