,FAs,Soft Suff,Soft Comp
0,Input X Gradient,0.008411985291691602,
1,Integrated Gradients,0.014791466263836598,
2,Gradient Shap,0.0027943416001356995,
3,Attention Rollout,0.0002534925363711,
4,Attention Last,-0.0001714254432713001,
5,Attention,-0.0011458334297675,
6,Ours,0.022171801153184498,
0,Input X Gradient,,0.0230776629375884
1,Integrated Gradients,,0.1211144427379279
2,Gradient Shap,,0.014409695436381301
3,Attention Rollout,,0.00020744792606169904
4,Attention Last,,0.00032181401437409926
5,Attention,,0.0009156900792302008
6,Ours,,0.2404635654067775
